,term,line,name,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
1104,202110,3호선,가락시장,16292,16429,12816,11316,13303,13684,37.492522,127.118234
1105,202110,5호선,하남풍산,8105,9215,5507,5156,6807,6653,37.55223,127.2038
1106,202110,1호선,종로5가,7535,60642,40078,43831,50915,12910,37.570926,127.001849
1107,202110,일산선,삼송,56786,19788,25082,23453,21269,42588,37.653083,126.895558
1108,202110,안산선,상록수,51428,15064,21562,17631,14744,42049,37.302795,126.866489
1109,202110,2호선,당산,38976,41299,22748,22063,30046,40860,37.53438,126.902281
1110,202110,9호선,당산,41209,23684,23405,19679,24956,38624,37.53438,126.902281
1111,202110,5호선,종로3가,3356,25489,17273,26326,36301,13939,37.571607,126.991806
1112,202110,2호선,강변(동서울터미널),76193,35583,47235,42892,42301,64650,37.535095,127.094681
1113,202110,우이신설선,북한산우이,7068,7109,6805,6148,4258,3926,37.663146,127.012789
1114,202110,3호선,종로3가,2204,32234,11540,21556,28471,8104,37.571607,126.991806
1115,202110,1호선,종로3가,7583,49853,44604,52708,60578,17704,37.571607,126.991806
1116,202110,2호선,낙성대(강감찬),82532,26687,37761,29338,29578,62900,37.47693,126.963693
1117,202110,중앙선,운길산,1334,2107,2933,3005,1869,864,37.554669,127.310115
1118,202110,중앙선,중랑,18121,4564,8061,6950,4758,13518,37.594917,127.076116
1119,202110,우이신설선,솔샘,21744,3463,7489,5680,3077,14278,37.62124,127.013528
1120,202110,1호선,시청,7127,87880,22166,24651,59189,9491,37.564718,126.977108
1121,202110,2호선,시청,6118,94447,21993,19350,61498,8485,37.564718,126.977108
1122,202110,일산선,백석,18589,16979,15416,14117,14852,17318,37.643114,126.78787
1123,202110,장항선,신창(순천향대),1963,4708,5064,3656,3324,2598,36.769502,126.951108
1124,202110,우이신설선,가오리,13847,3882,6321,5815,3045,9108,37.641701,127.016792
1125,202110,3호선,교대(법원.검찰청),8871,29614,17233,10232,31821,8114,37.493415,127.01408
1126,202110,2호선,교대(법원.검찰청),25215,103414,40824,49877,73630,36905,37.493415,127.01408
1127,202110,우이신설선,삼양,5944,2430,3302,3366,1681,4299,37.627165,127.018152
1128,202110,중앙선,회기,51811,34217,39116,30564,32468,46634,37.58946,127.057583
1129,202110,중앙선,팔당,1426,3016,2262,2806,2645,1323,37.547371,127.243939
1130,202110,중앙선,양원,4599,4563,3553,2417,1817,3155,37.606596,127.107906
1131,202110,일산선,주엽,21677,11028,14427,13359,9262,17578,37.670072,126.761334
1132,202110,일산선,원흥,32037,10203,14145,11499,9986,23368,37.650658,126.872642
1133,202110,중앙선,구리,40829,13682,18718,17561,14111,32350,37.603392,127.143869
1134,202110,2호선,구의(광진구청),71486,24281,28839,25628,24437,53419,37.537077,127.085916
1135,202110,일산선,마두,13504,13847,12819,11531,9845,12097,37.652206,126.77762
1136,202110,장항선,봉명,2115,3106,2244,1583,1217,1409,36.801215,127.135763
1137,202110,일산선,화정,42996,19005,25539,24404,19043,38018,37.634592,126.83265
1138,202110,중앙선,양정,1579,2234,1540,1143,1510,937,37.60533,127.19364
1139,202110,중앙선,덕소,17945,5465,8764,7643,4787,13765,37.586781,127.208832
